<Mach-1 File>
<INFO>
Date:	Mon, Nov 13, 2023
Time:	14:59:51.500
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	FT31009
Load Cell Type:	Multiple-axis
Load Cell Calibration Factor:	0.996708
Load Cell Offset:	-86.095833
Load Cell Calibration Date:	2023-11-13
<END INFO>
<Stress Relaxation>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Amplitude, mm:	0.3440
Velocity, mm/s:	0.3440
Number of Ramp:	1
Stop based on:	Fixed Relaxation Time
Fixed Relaxation Time, s:	60
Relaxation Rate, N/min:	0.0100
Time for Measurement of the Slope, s:	10
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fx, N	Fy, N	Fz, N	Tx, N-mm	Ty, N-mm	Tz, N-mm
0.000000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.010000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.020000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.030000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.040000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.050000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.060000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.070000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.080000	-2.261500	0.000000	-0.038872	-0.090700	0.039868	-2.990125	3.488479	5.481895
0.090000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.100000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.110000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.120000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.130000	-2.261500	0.000000	-0.038872	-0.090700	0.039868	-2.990125	3.488479	5.481895
0.140000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.150000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.160000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.170000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.180000	-2.261500	0.000000	-0.038872	-0.090700	0.039868	-2.990125	3.488479	5.481895
0.190000	-2.261500	0.000000	-0.038872	-0.090700	0.039868	-2.990125	3.488479	5.481895
0.200000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.210000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.220000	-2.261500	0.000000	-0.038872	-0.090700	0.039868	-2.990125	3.488479	5.481895
0.230000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.240000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.250000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.260000	-2.261500	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.270000	-2.261400	0.000000	-0.038872	-0.084222	0.039868	-2.990125	3.488479	5.481895
0.280000	-2.258800	0.000000	-0.038872	-0.090700	0.039868	-2.990125	3.488479	5.481895
0.290000	-2.252900	0.000000	-0.038872	-0.084222	0.019934	-2.990125	3.488479	5.481895
0.300000	-2.250600	0.000000	-0.038872	-0.084222	0.019934	-2.990125	3.488479	4.983541
0.310000	-2.246700	0.000000	-0.038872	-0.084222	0.019934	-2.990125	3.488479	4.983541
0.320000	-2.242200	0.000000	-0.038872	-0.084222	0.019934	-2.491770	3.488479	4.983541
0.330000	-2.240200	0.000000	-0.032393	-0.077743	0.019934	-2.491770	3.488479	4.485187
0.340000	-2.235600	0.000000	-0.032393	-0.077743	0.019934	-2.491770	2.990125	4.485187
0.350000	-2.232200	0.000000	-0.032393	-0.071265	0.019934	-2.491770	2.990125	4.485187
0.360000	-2.229500	0.000000	-0.032393	-0.071265	0.019934	-2.491770	2.990125	4.485187
0.370000	-2.225200	0.000000	-0.032393	-0.071265	0.019934	-2.491770	2.990125	3.986833
0.380000	-2.222400	0.000000	-0.032393	-0.071265	0.019934	-2.491770	2.990125	3.986833
0.390000	-2.218700	0.000000	-0.032393	-0.064786	0.000000	-2.491770	2.990125	3.986833
0.400000	-2.215100	0.000000	-0.025914	-0.064786	0.000000	-1.993416	2.990125	3.986833
0.410000	-2.211800	0.000000	-0.025914	-0.058307	0.000000	-1.993416	2.491770	3.488479
0.420000	-2.208500	0.000000	-0.025914	-0.058307	0.000000	-1.993416	2.990125	3.488479
0.430000	-2.204900	0.000000	-0.025914	-0.058307	0.000000	-1.993416	2.491770	3.488479
0.440000	-2.201400	0.000000	-0.025914	-0.058307	0.000000	-1.993416	2.491770	3.488479
