<Mach-1 File>
<INFO>
Date:	Mon, Nov 13, 2023
Time:	14:40:59.400
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	FT31009
Load Cell Type:	Multiple-axis
Load Cell Calibration Factor:	0.996708
Load Cell Offset:	-86.095833
Load Cell Calibration Date:	2023-11-13
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, N:	0.200000
Stage Velocity, mm/s:	0.1000
Stage Limit, mm:	3.0000
Stage Repositioning:	2X Load Resolution
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fx, N	Fy, N	Fz, N	Tx, N-mm	Ty, N-mm	Tz, N-mm
0.000000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.010000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.020000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.030000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.040000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.050000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.060000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.070000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.080000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.090000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.100000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.110000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.120000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.130000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.140000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.150000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.160000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.170000	-2.520400	0.000000	-0.012957	-0.051829	0.000000	-1.495062	1.495062	2.491770
0.180000	-2.520400	0.000000	-0.012957	-0.051829	0.000000	-1.495062	1.495062	2.491770
0.190000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.200000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.210000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.220000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.230000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.240000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
0.250000	-2.520400	0.000000	-0.012957	-0.051829	0.019934	-1.495062	1.495062	2.491770
