<Mach-1 File>
<INFO>
Date:	Mon, Nov 13, 2023
Time:	14:09:04.400
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	FT31009
Load Cell Type:	Multiple-axis
Load Cell Calibration Factor:	0.996708
Load Cell Offset:	-86.095833
Load Cell Calibration Date:	2023-11-13
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, N:	0.500000
Stage Velocity, mm/s:	0.0100
Stage Limit, mm:	3.0000
Stage Repositioning:	2X Load Resolution
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fx, N	Fy, N	Fz, N	Tx, N-mm	Ty, N-mm	Tz, N-mm
0.000000	29.173900	0.000000	0.012957	-0.051829	-0.099671	-1.993416	1.495062	1.993416
0.010000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.020000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	0.996708	1.993416
0.030000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	0.996708	1.993416
0.040000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.050000	29.173900	0.000000	0.012957	-0.051829	-0.099671	-1.993416	1.495062	1.993416
0.060000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.070000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.080000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.090000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.100000	29.173900	0.000000	0.012957	-0.051829	-0.099671	-1.993416	1.495062	1.993416
0.110000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.120000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.130000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.140000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.150000	29.173900	0.000000	0.012957	-0.051829	-0.099671	-1.993416	1.495062	1.993416
0.160000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.170000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.180000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.190000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.200000	29.173900	0.000000	0.012957	-0.051829	-0.099671	-1.993416	1.495062	1.993416
0.210000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.220000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.230000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.240000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.250000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.260000	29.173900	0.000000	0.012957	-0.051829	-0.099671	-1.993416	1.495062	1.993416
0.270000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.280000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.290000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.300000	29.173900	0.000000	0.012957	-0.051829	-0.099671	-1.993416	1.495062	1.993416
0.310000	29.173900	0.000000	0.012957	-0.051829	-0.099671	-1.993416	1.495062	1.993416
0.320000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.330000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	0.996708	1.993416
0.340000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.350000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.360000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.370000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.380000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.390000	29.173900	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.400000	29.174000	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.410000	29.174000	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.420000	29.174000	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.430000	29.174000	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.440000	29.174000	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.450000	29.174100	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.460000	29.174100	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.470000	29.174300	0.000000	0.012957	-0.045350	-0.099671	-1.993416	1.495062	1.993416
0.480000	29.174400	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.490000	29.174400	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
0.500000	29.174500	0.000000	0.012957	-0.045350	-0.099671	-1.495062	1.495062	1.993416
