<Mach-1 File>
<INFO>
Date:	Mon, Oct 30, 2023
Time:	14:41:10.632
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	FT31009
Load Cell Type:	Multiple-axis
Load Cell Calibration Factor:	0.996708
Load Cell Offset:	-84.010333
Load Cell Calibration Date:	2023-10-30
<END INFO>
<Move Absolute>
Stage Axis:	Position (z)
Position, mm:	1.5914
Velocity, mm/s:	0.1000
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fx, N	Fy, N	Fz, N	Tx, N-mm	Ty, N-mm	Tz, N-mm
0.000000	-1.391800	0.000000	-0.181401	-0.142529	-33.628935	-22.924289	46.845285	-3.986833
0.010000	-1.391800	0.000000	-0.181401	-0.142529	-33.628935	-22.924289	46.845285	-3.986833
0.020000	-1.391800	0.000000	-0.181401	-0.142529	-33.628935	-22.924289	46.845285	-3.986833
0.030000	-1.391800	0.000000	-0.181401	-0.142529	-33.628935	-22.924289	46.845285	-3.986833
0.040000	-1.391800	0.000000	-0.181401	-0.136051	-33.628935	-22.924289	46.845285	-3.986833
0.050000	-1.391800	0.000000	-0.181401	-0.136051	-33.609000	-22.924289	46.845285	-3.986833
0.060000	-1.391800	0.000000	-0.181401	-0.142529	-33.628935	-22.924289	46.845285	-3.986833
0.070000	-1.391800	0.000000	-0.181401	-0.142529	-33.628935	-22.924289	46.845285	-3.986833
0.080000	-1.391800	0.000000	-0.181401	-0.142529	-33.628935	-22.924289	46.845285	-3.986833
0.090000	-1.391800	0.000000	-0.181401	-0.136051	-33.609000	-22.924289	46.845285	-3.986833
0.100000	-1.391800	0.000000	-0.181401	-0.136051	-33.609000	-22.924289	46.845285	-3.986833
0.110000	-1.391800	0.000000	-0.181401	-0.142529	-33.628935	-22.924289	46.845285	-3.986833
0.120000	-1.391800	0.000000	-0.181401	-0.142529	-33.628935	-23.422643	46.845285	-3.986833
0.130000	-1.391800	0.000000	-0.181401	-0.142529	-33.628935	-22.924289	46.845285	-3.986833
0.140000	-1.391800	0.000000	-0.181401	-0.136051	-33.609000	-22.924289	46.845285	-3.986833
0.150000	-1.391800	0.000000	-0.181401	-0.136051	-33.609000	-22.924289	46.845285	-3.986833
0.160000	-1.391800	0.000000	-0.181401	-0.142529	-33.628935	-22.924289	46.845285	-3.986833
0.170000	-1.391800	0.000000	-0.181401	-0.142529	-33.628935	-22.924289	46.845285	-3.986833
0.180000	-1.391800	0.000000	-0.181401	-0.136051	-33.628935	-22.924289	46.845285	-3.986833
0.190000	-1.391800	0.000000	-0.181401	-0.142529	-33.628935	-23.422643	46.845285	-3.986833
0.200000	-1.391700	0.000000	-0.181401	-0.142529	-33.648869	-23.422643	47.343639	-3.986833
0.210000	-1.390100	0.000000	-0.181401	-0.142529	-33.708671	-23.422643	47.343639	-3.986833
0.220000	-1.386800	0.000000	-0.181401	-0.142529	-34.207025	-23.920997	47.841993	-4.485187
0.230000	-1.386100	0.000000	-0.181401	-0.149008	-35.582483	-24.917705	49.337056	-4.485187
0.240000	-1.385200	0.000000	-0.181401	-0.155486	-36.957940	-25.914413	50.333764	-4.485187
0.250000	-1.383800	0.000000	-0.181401	-0.161965	-37.735372	-26.412767	51.330472	-4.485187
0.260000	-1.382600	0.000000	-0.181401	-0.161965	-38.253661	-26.911121	51.828826	-4.485187
0.270000	-1.381600	0.000000	-0.181401	-0.168444	-38.831751	-27.409475	51.828826	-4.485187
0.280000	-1.380600	0.000000	-0.174922	-0.168444	-39.429776	-27.907830	52.327180	-4.983541
0.290000	-1.379700	0.000000	-0.174922	-0.174922	-39.967999	-28.406184	52.825534	-4.983541
0.300000	-1.378600	0.000000	-0.174922	-0.174922	-40.446419	-28.904538	53.323889	-4.983541
0.310000	-1.377500	0.000000	-0.168444	-0.181401	-40.984641	-28.904538	53.822243	-4.983541
0.320000	-1.376500	0.000000	-0.168444	-0.181401	-41.562732	-29.901246	53.822243	-4.983541
0.330000	-1.375500	0.000000	-0.168444	-0.187879	-42.180691	-30.399600	54.320597	-4.983541
0.340000	-1.374500	0.000000	-0.161965	-0.187879	-42.698979	-30.897954	54.818951	-4.983541
0.350000	-1.373600	0.000000	-0.161965	-0.194358	-43.197333	-31.396308	54.818951	-4.983541
0.360000	-1.372700	0.000000	-0.155486	-0.194358	-43.675753	-31.396308	55.317305	-5.481895
0.370000	-1.371500	0.000000	-0.155486	-0.200837	-44.114305	-31.894662	55.317305	-5.481895
0.380000	-1.370500	0.000000	-0.155486	-0.200837	-44.592725	-32.393016	55.815659	-5.481895
0.390000	-1.369600	0.000000	-0.149008	-0.207315	-45.111013	-32.891370	56.314013	-5.481895
0.400000	-1.368800	0.000000	-0.149008	-0.207315	-45.589433	-33.389725	56.314013	-5.481895
0.410000	-1.367900	0.000000	-0.142529	-0.207315	-46.027985	-33.389725	56.812367	-5.481895
0.420000	-1.366600	0.000000	-0.142529	-0.213794	-46.466536	-33.888079	56.812367	-5.481895
0.430000	-1.365500	0.000000	-0.142529	-0.213794	-47.004759	-34.386433	57.310721	-5.481895
0.440000	-1.364500	0.000000	-0.136051	-0.220273	-47.602783	-34.884787	57.809075	-5.481895
0.450000	-1.363500	0.000000	-0.136051	-0.220273	-48.141006	-35.383141	57.809075	-5.980249
0.460000	-1.362600	0.000000	-0.129572	-0.220273	-48.599492	-35.383141	58.307430	-5.980249
0.470000	-1.361500	0.000000	-0.129572	-0.226751	-48.998175	-35.881495	58.307430	-5.980249
0.480000	-1.360600	0.000000	-0.129572	-0.226751	-49.416792	-36.379849	58.805784	-5.980249
0.490000	-1.359400	0.000000	-0.123093	-0.226751	-49.855344	-36.379849	58.805784	-5.980249
0.500000	-1.358600	0.000000	-0.123093	-0.226751	-50.333764	-36.878203	59.304138	-5.980249
0.510000	-1.357600	0.000000	-0.123093	-0.233230	-50.812184	-36.878203	59.304138	-5.980249
0.520000	-1.356400	0.000000	-0.116615	-0.233230	-51.250735	-37.376557	59.802492	-5.980249
0.530000	-1.355500	0.000000	-0.116615	-0.233230	-51.729155	-37.874911	60.300846	-5.980249
0.540000	-1.354400	0.000000	-0.116615	-0.233230	-52.207575	-37.874911	60.300846	-5.980249
0.550000	-1.353500	0.000000	-0.110136	-0.233230	-52.666061	-38.373266	60.799200	-5.980249
0.560000	-1.352500	0.000000	-0.110136	-0.239708	-53.044810	-38.373266	61.297554	-6.478603
0.570000	-1.351400	0.000000	-0.116615	-0.239708	-53.303954	-38.871620	61.795908	-6.478603
0.580000	-1.350600	0.000000	-0.123093	-0.246187	-53.543164	-38.871620	62.294262	-6.478603
0.590000	-1.349800	0.000000	-0.136051	-0.246187	-53.662769	-39.369974	62.792616	-6.478603
0.600000	-1.348600	0.000000	-0.149008	-0.252666	-53.702638	-39.369974	63.789325	-6.478603
0.610000	-1.347400	0.000000	-0.168444	-0.252666	-53.822243	-39.868328	64.786033	-6.478603
0.620000	-1.346500	0.000000	-0.181401	-0.259144	-54.041518	-39.868328	65.782741	-6.478603
0.630000	-1.345400	0.000000	-0.194358	-0.259144	-54.181058	-40.366682	66.779449	-6.478603
0.640000	-1.344500	0.000000	-0.207315	-0.265623	-54.260794	-40.366682	67.776157	-6.478603
0.650000	-1.343400	0.000000	-0.226751	-0.265623	-54.320597	-40.366682	68.772866	-6.478603
0.660000	-1.342600	0.000000	-0.239708	-0.265623	-54.360465	-40.366682	69.769574	-6.478603
0.670000	-1.341500	0.000000	-0.246187	-0.259144	-54.360465	-40.366682	70.267928	-6.478603
0.680000	-1.340400	0.000000	-0.259144	-0.265623	-54.420268	-40.865036	70.766282	-6.478603
0.690000	-1.339500	0.000000	-0.265623	-0.265623	-54.559807	-40.865036	71.762990	-6.976957
0.700000	-1.338600	0.000000	-0.278580	-0.272101	-54.719280	-41.363390	72.261344	-6.976957
0.710000	-1.337500	0.000000	-0.285059	-0.272101	-54.838885	-41.861744	72.759698	-6.976957
0.720000	-1.336800	0.000000	-0.291537	-0.278580	-55.018292	-41.861744	73.756407	-6.976957
0.730000	-1.335600	0.000000	-0.298016	-0.285059	-55.217634	-42.360098	74.254761	-6.976957
0.740000	-1.334600	0.000000	-0.298016	-0.291537	-55.416976	-42.858452	74.753115	-6.976957
0.750000	-1.333500	0.000000	-0.304494	-0.291537	-55.636252	-43.356807	75.251469	-6.976957
0.760000	-1.332500	0.000000	-0.310973	-0.298016	-55.875462	-43.855161	76.248177	-6.976957
0.770000	-1.331400	0.000000	-0.317452	-0.304494	-56.094737	-44.353515	76.746531	-6.976957
0.780000	-1.330600	0.000000	-0.323930	-0.310973	-56.314013	-44.353515	77.244885	-6.976957
0.790000	-1.329500	0.000000	-0.330409	-0.310973	-56.473486	-44.851869	77.743239	-7.475311
0.800000	-1.328400	0.000000	-0.336887	-0.317452	-56.652894	-44.851869	78.739948	-7.475311
0.810000	-1.327400	0.000000	-0.343366	-0.317452	-56.951906	-45.350223	79.238302	-7.475311
0.820000	-1.326500	0.000000	-0.349845	-0.317452	-57.250919	-45.350223	80.235010	-7.475311
0.830000	-1.325400	0.000000	-0.356323	-0.323930	-57.490129	-45.848577	80.733364	-7.475311
0.840000	-1.324500	0.000000	-0.362802	-0.323930	-57.749273	-46.346931	81.231718	-7.475311
0.850000	-1.323300	0.000000	-0.369280	-0.330409	-57.948615	-46.346931	82.228426	-7.475311
0.860000	-1.322400	0.000000	-0.375759	-0.330409	-58.147956	-46.845285	82.726780	-7.475311
0.870000	-1.321600	0.000000	-0.382238	-0.330409	-58.347298	-46.845285	83.225134	-7.475311
0.880000	-1.320600	0.000000	-0.388716	-0.330409	-58.486837	-46.845285	83.723489	-7.475311
0.890000	-1.319700	0.000000	-0.395195	-0.336887	-58.606442	-47.343639	84.221843	-7.475311
0.900000	-1.318600	0.000000	-0.401673	-0.336887	-58.765915	-47.343639	84.720197	-7.475311
0.910000	-1.317400	0.000000	-0.401673	-0.336887	-59.025059	-47.343639	85.716905	-7.475311
0.920000	-1.316500	0.000000	-0.408152	-0.343366	-59.363940	-47.841993	86.215259	-7.475311
0.930000	-1.315500	0.000000	-0.414631	-0.343366	-59.682887	-48.340348	86.713613	-7.973666
0.940000	-1.314600	0.000000	-0.421109	-0.343366	-59.902163	-48.340348	87.710321	-7.973666
0.950000	-1.313400	0.000000	-0.427588	-0.349845	-60.061636	-48.340348	88.208675	-7.973666
0.960000	-1.312300	0.000000	-0.434066	-0.349845	-60.300846	-48.838702	88.707030	-7.973666
0.970000	-1.311600	0.000000	-0.440545	-0.349845	-60.579924	-48.838702	89.205384	-7.973666
0.980000	-1.310300	0.000000	-0.447024	-0.349845	-60.719463	-48.838702	89.703738	-7.973666
0.990000	-1.309400	0.000000	-0.453502	-0.349845	-60.918805	-49.337056	90.202092	-7.973666
1.000000	-1.308300	0.000000	-0.453502	-0.349845	-61.158015	-49.337056	91.198800	-7.973666
1.010000	-1.307300	0.000000	-0.459981	-0.356323	-61.417159	-49.337056	91.697154	-7.973666
1.020000	-1.306500	0.000000	-0.466459	-0.356323	-61.656369	-49.835410	92.195508	-7.973666
1.030000	-1.305500	0.000000	-0.472938	-0.356323	-61.835777	-49.835410	92.693862	-7.973666
1.040000	-1.304600	0.000000	-0.479417	-0.356323	-61.975316	-49.835410	93.192216	-7.973666
1.050000	-1.303600	0.000000	-0.485895	-0.356323	-62.154723	-50.333764	93.690570	-8.472020
1.060000	-1.302500	0.000000	-0.485895	-0.356323	-62.314196	-50.333764	94.188925	-8.472020
1.070000	-1.301500	0.000000	-0.492374	-0.356323	-62.533472	-50.333764	95.185633	-8.472020
1.080000	-1.300500	0.000000	-0.498852	-0.356323	-62.732814	-50.832118	95.683987	-8.472020
1.090000	-1.299600	0.000000	-0.505331	-0.356323	-62.892287	-50.832118	96.182341	-8.472020
1.100000	-1.298600	0.000000	-0.505331	-0.362802	-63.031826	-50.832118	96.680695	-8.472020
1.110000	-1.297600	0.000000	-0.511810	-0.362802	-63.211234	-50.832118	97.179049	-8.472020
1.120000	-1.296500	0.000000	-0.518288	-0.362802	-63.410575	-51.330472	97.677403	-8.472020
1.130000	-1.295500	0.000000	-0.524767	-0.362802	-63.669720	-51.330472	98.175757	-8.472020
1.140000	-1.294500	0.000000	-0.524767	-0.362802	-63.908930	-51.330472	98.674111	-8.472020
1.150000	-1.293500	0.000000	-0.531245	-0.362802	-64.108271	-51.330472	99.172466	-8.472020
1.160000	-1.292300	0.000000	-0.537724	-0.362802	-64.287679	-51.828826	99.670820	-8.472020
1.170000	-1.291500	0.000000	-0.544203	-0.362802	-64.467086	-51.828826	100.667528	-8.472020
1.180000	-1.290500	0.000000	-0.550681	-0.362802	-64.606625	-51.828826	101.165882	-8.472020
1.190000	-1.289500	0.000000	-0.550681	-0.362802	-64.746164	-51.828826	101.664236	-8.472020
1.200000	-1.288500	0.000000	-0.557160	-0.362802	-64.905638	-51.828826	101.664236	-8.970374
1.210000	-1.287500	0.000000	-0.557160	-0.362802	-65.124914	-51.828826	102.162590	-8.970374
1.220000	-1.286600	0.000000	-0.563638	-0.362802	-65.324255	-52.327180	102.660944	-8.970374
1.230000	-1.285500	0.000000	-0.570117	-0.356323	-65.503663	-52.327180	103.159298	-8.970374
1.240000	-1.284400	0.000000	-0.570117	-0.356323	-65.703004	-52.327180	103.657652	-8.970374
1.250000	-1.283700	0.000000	-0.576596	-0.356323	-65.922280	-52.327180	104.156007	-8.970374
1.260000	-1.282500	0.000000	-0.583074	-0.356323	-66.041885	-52.327180	104.654361	-8.970374
1.270000	-1.281500	0.000000	-0.583074	-0.356323	-66.141556	-52.327180	105.152715	-8.970374
1.280000	-1.280600	0.000000	-0.589553	-0.356323	-66.281095	-52.327180	105.651069	-8.970374
1.290000	-1.279400	0.000000	-0.589553	-0.356323	-66.440568	-52.327180	106.149423	-8.970374
1.300000	-1.278600	0.000000	-0.596032	-0.356323	-66.639910	-52.327180	106.647777	-8.970374
1.310000	-1.277400	0.000000	-0.602510	-0.356323	-66.859186	-52.825534	107.146131	-8.970374
1.320000	-1.276700	0.000000	-0.602510	-0.356323	-67.078462	-52.825534	107.644485	-8.970374
1.330000	-1.275700	0.000000	-0.608989	-0.356323	-67.257869	-52.825534	108.142839	-8.970374
1.340000	-1.274500	0.000000	-0.608989	-0.356323	-67.397408	-52.825534	108.142839	-8.970374
1.350000	-1.273400	0.000000	-0.615467	-0.356323	-67.596750	-52.825534	108.641193	-8.970374
1.360000	-1.272500	0.000000	-0.615467	-0.349845	-67.835960	-52.825534	109.139548	-9.468728
1.370000	-1.271500	0.000000	-0.621946	-0.356323	-68.015367	-53.323889	109.637902	-9.468728
1.380000	-1.270500	0.000000	-0.628425	-0.356323	-68.154906	-53.323889	110.136256	-9.468728
1.390000	-1.269500	0.000000	-0.628425	-0.356323	-68.294446	-53.323889	110.136256	-9.468728
1.400000	-1.268400	0.000000	-0.628425	-0.349845	-68.473853	-53.323889	110.634610	-9.468728
1.410000	-1.267300	0.000000	-0.634903	-0.356323	-68.732997	-53.323889	111.132964	-9.468728
1.420000	-1.266600	0.000000	-0.634903	-0.356323	-69.032010	-53.822243	111.631318	-9.468728
1.430000	-1.265500	0.000000	-0.634903	-0.356323	-69.211417	-53.822243	112.129672	-9.468728
1.440000	-1.264500	0.000000	-0.641382	-0.356323	-69.311088	-53.822243	112.129672	-9.468728
1.450000	-1.263400	0.000000	-0.641382	-0.356323	-69.490495	-53.822243	112.628026	-9.468728
1.460000	-1.262500	0.000000	-0.647860	-0.356323	-69.689837	-54.320597	113.126380	-9.468728
1.470000	-1.261500	0.000000	-0.647860	-0.356323	-69.829376	-54.320597	113.126380	-9.468728
1.480000	-1.260600	0.000000	-0.647860	-0.356323	-69.968915	-54.320597	113.624734	-9.468728
1.490000	-1.259500	0.000000	-0.647860	-0.356323	-70.088520	-54.320597	113.624734	-9.468728
1.500000	-1.258500	0.000000	-0.654339	-0.349845	-70.287862	-54.320597	114.123089	-9.468728
1.510000	-1.257500	0.000000	-0.654339	-0.349845	-70.527072	-54.320597	114.123089	-9.468728
1.520000	-1.256500	0.000000	-0.654339	-0.349845	-70.766282	-54.320597	114.621443	-9.967082
1.530000	-1.255600	0.000000	-0.654339	-0.349845	-71.005492	-54.320597	115.119797	-9.967082
1.540000	-1.254500	0.000000	-0.660818	-0.349845	-71.204834	-54.320597	115.119797	-9.967082
1.550000	-1.253300	0.000000	-0.660818	-0.349845	-71.384241	-54.320597	115.618151	-9.967082
1.560000	-1.252400	0.000000	-0.660818	-0.349845	-71.643385	-54.818951	115.618151	-9.967082
1.570000	-1.251500	0.000000	-0.660818	-0.349845	-71.842727	-54.818951	116.116505	-9.967082
1.580000	-1.250400	0.000000	-0.660818	-0.349845	-71.942398	-54.818951	116.116505	-9.967082
1.590000	-1.249600	0.000000	-0.667296	-0.349845	-72.062003	-54.818951	116.614859	-9.967082
1.600000	-1.248400	0.000000	-0.667296	-0.349845	-72.241410	-54.818951	116.614859	-9.967082
1.610000	-1.247600	0.000000	-0.667296	-0.343366	-72.540423	-54.818951	117.113213	-9.967082
1.620000	-1.246600	0.000000	-0.667296	-0.343366	-72.799567	-54.818951	117.113213	-9.967082
1.630000	-1.245600	0.000000	-0.667296	-0.343366	-72.959040	-54.818951	117.611567	-9.967082
1.640000	-1.244400	0.000000	-0.660818	-0.343366	-73.118513	-54.818951	117.611567	-9.967082
1.650000	-1.243500	0.000000	-0.660818	-0.336887	-73.337789	-54.818951	117.611567	-9.967082
1.660000	-1.242400	0.000000	-0.660818	-0.336887	-73.576999	-54.818951	118.109921	-9.967082
1.670000	-1.241600	0.000000	-0.667296	-0.343366	-73.776341	-55.317305	118.109921	-9.967082
1.680000	-1.240500	0.000000	-0.667296	-0.343366	-73.876012	-55.317305	118.608275	-9.967082
1.690000	-1.239500	0.000000	-0.660818	-0.336887	-73.955748	-55.317305	118.608275	-9.967082
1.700000	-1.238400	0.000000	-0.660818	-0.336887	-74.155090	-55.317305	118.608275	-9.967082
1.710000	-1.237400	0.000000	-0.660818	-0.336887	-74.513905	-55.317305	119.106630	-9.967082
1.720000	-1.236400	0.000000	-0.667296	-0.343366	-74.832851	-55.317305	119.106630	-9.967082
1.730000	-1.235400	0.000000	-0.660818	-0.343366	-75.072061	-55.815659	119.604984	-10.465436
1.740000	-1.234200	0.000000	-0.660818	-0.336887	-75.191666	-55.815659	119.604984	-10.465436
1.750000	-1.233600	0.000000	-0.660818	-0.330409	-75.430876	-55.815659	119.604984	-10.465436
1.760000	-1.232400	0.000000	-0.660818	-0.336887	-75.650152	-55.815659	119.604984	-10.465436
1.770000	-1.231400	0.000000	-0.660818	-0.343366	-75.849494	-55.815659	120.103338	-10.465436
1.780000	-1.230600	0.000000	-0.660818	-0.336887	-75.969099	-56.314013	120.103338	-10.465436
1.790000	-1.229500	0.000000	-0.654339	-0.336887	-76.048835	-56.314013	120.103338	-10.465436
1.800000	-1.228500	0.000000	-0.654339	-0.336887	-76.268111	-56.314013	120.601692	-10.465436
1.810000	-1.227500	0.000000	-0.654339	-0.336887	-76.626926	-56.314013	120.601692	-10.465436
