<Mach-1 File>
<INFO>
Date:	Mon, Oct 30, 2023
Time:	15:06:09.932
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	FT31009
Load Cell Type:	Multiple-axis
Load Cell Calibration Factor:	0.996708
Load Cell Offset:	-84.010333
Load Cell Calibration Date:	2023-10-30
<END INFO>
<Stress Relaxation>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Amplitude, mm:	0.3111
Velocity, mm/s:	0.0016
Number of Ramp:	1
Stop based on:	Fixed Relaxation Time
Fixed Relaxation Time, s:	60
Relaxation Rate, N/min:	0.0100
Time for Measurement of the Slope, s:	10
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fx, N	Fy, N	Fz, N	Tx, N-mm	Ty, N-mm	Tz, N-mm
0.000000	-0.886900	0.000000	0.136051	0.505331	-168.363949	-149.007875	65.782741	-3.488479
0.010000	-0.886900	0.000000	0.136051	0.505331	-168.363949	-149.007875	65.782741	-3.488479
0.020000	-0.886900	0.000000	0.136051	0.505331	-168.383883	-149.007875	65.782741	-3.488479
0.030000	-0.886900	0.000000	0.136051	0.505331	-168.403817	-149.007875	65.782741	-3.488479
0.040000	-0.886900	0.000000	0.136051	0.505331	-168.363949	-149.007875	65.782741	-3.488479
0.050000	-0.886900	0.000000	0.136051	0.505331	-168.344014	-149.007875	65.782741	-3.488479
0.060000	-0.886900	0.000000	0.136051	0.505331	-168.383883	-149.007875	65.782741	-3.488479
0.070000	-0.886900	0.000000	0.136051	0.505331	-168.403817	-149.007875	65.782741	-3.488479
0.080000	-0.886900	0.000000	0.136051	0.505331	-168.363949	-149.007875	65.782741	-3.488479
0.090000	-0.886900	0.000000	0.136051	0.505331	-168.344014	-149.007875	65.782741	-3.488479
0.100000	-0.886900	0.000000	0.136051	0.505331	-168.363949	-149.007875	65.782741	-3.488479
0.110000	-0.886900	0.000000	0.136051	0.505331	-168.383883	-149.007875	65.782741	-3.488479
0.120000	-0.886900	0.000000	0.136051	0.505331	-168.383883	-149.007875	65.782741	-3.488479
0.130000	-0.886900	0.000000	0.136051	0.505331	-168.383883	-149.007875	65.782741	-3.488479
0.140000	-0.886900	0.000000	0.136051	0.505331	-168.383883	-149.007875	65.782741	-3.488479
