<Mach-1 File>
<INFO>
Date:	Mon, Nov 13, 2023
Time:	14:25:34.500
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	FT31009
Load Cell Type:	Multiple-axis
Load Cell Calibration Factor:	0.996708
Load Cell Offset:	-86.095833
Load Cell Calibration Date:	2023-11-13
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, N:	0.200000
Stage Velocity, mm/s:	0.1000
Stage Limit, mm:	3.0000
Stage Repositioning:	2X Load Resolution
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fx, N	Fy, N	Fz, N	Tx, N-mm	Ty, N-mm	Tz, N-mm
0.000000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.010000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.020000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.030000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.040000	-4.393000	0.000000	0.000000	-0.012957	0.000000	-0.498354	0.498354	0.000000
0.050000	-4.393000	0.000000	0.000000	-0.012957	0.000000	-0.498354	0.498354	0.000000
0.060000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.070000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.080000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.090000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.100000	-4.393000	0.000000	0.000000	-0.012957	0.000000	-0.498354	0.498354	0.000000
0.110000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.120000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.130000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.140000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.150000	-4.393000	0.000000	0.000000	-0.012957	0.000000	-0.498354	0.498354	0.000000
0.160000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.170000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.180000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.190000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.200000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.210000	-4.393000	0.000000	0.000000	-0.012957	0.000000	-0.498354	0.498354	0.000000
0.220000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.230000	-4.393000	0.000000	0.000000	-0.006479	-0.019934	-0.498354	0.498354	0.000000
0.240000	-4.393000	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.250000	-4.393000	0.000000	0.000000	-0.012957	0.000000	-0.498354	0.498354	0.000000
0.260000	-4.392900	0.000000	0.000000	-0.012957	0.000000	-0.498354	0.498354	0.000000
0.270000	-4.392800	0.000000	0.000000	-0.006479	-0.019934	-0.498354	0.498354	0.000000
0.280000	-4.392400	0.000000	0.000000	-0.006479	-0.019934	-0.498354	0.498354	0.000000
0.290000	-4.392100	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.300000	-4.391900	0.000000	-0.006479	-0.012957	0.000000	-0.498354	0.498354	0.000000
0.310000	-4.391700	0.000000	0.000000	-0.012957	0.000000	-0.498354	0.498354	0.000000
0.320000	-4.391500	0.000000	0.000000	-0.006479	-0.019934	-0.498354	0.498354	0.000000
0.330000	-4.391300	0.000000	0.000000	-0.006479	-0.019934	-0.498354	0.498354	0.000000
0.340000	-4.391100	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.350000	-4.390900	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.360000	-4.390700	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.370000	-4.390400	0.000000	0.000000	-0.006479	-0.019934	-0.498354	0.498354	0.000000
0.380000	-4.390200	0.000000	0.000000	-0.006479	-0.019934	-0.498354	0.498354	0.000000
0.390000	-4.389900	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.400000	-4.389700	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.410000	-4.389400	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.420000	-4.389100	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.430000	-4.388800	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.440000	-4.388500	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.450000	-4.388300	0.000000	0.000000	-0.006479	-0.019934	-0.498354	0.498354	0.000000
0.460000	-4.387900	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.470000	-4.387600	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.480000	-4.387300	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.490000	-4.387000	0.000000	0.000000	0.000000	0.000000	-0.498354	0.498354	0.000000
0.500000	-4.386600	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.510000	-4.386200	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.520000	-4.385900	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
0.530000	-4.385500	0.000000	0.000000	-0.006479	0.000000	-0.498354	0.498354	0.000000
