<Mach-1 File>
<INFO>
Date:	Thu, Nov 23, 2023
Time:	12:37:57.090
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	10kg - SN: 1805192
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.962816
Load Cell Offset:	171.500000
Load Cell Calibration Date:	2023-11-23
<END INFO>
<Stress Relaxation>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Amplitude, mm:	1.2660
Velocity, mm/s:	0.0063
Number of Ramp:	1
Stop based on:	Fixed Relaxation Time
Fixed Relaxation Time, s:	60
Relaxation Rate, gf/min:	0.0100
Time for Measurement of the Slope, s:	10
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fz, gf
0.000000	-5.538900	0.000000	0.000000
0.010000	-5.538900	0.000000	0.000000
0.020000	-5.538900	0.000000	0.000000
0.030000	-5.538900	0.000000	0.000000
0.040000	-5.538900	0.000000	0.481408
0.050000	-5.538900	0.000000	0.481408
0.060000	-5.538900	0.000000	0.481408
0.070000	-5.538900	0.000000	0.000000
0.080000	-5.538900	0.000000	0.000000
0.090000	-5.538900	0.000000	0.000000
0.100000	-5.538900	0.000000	0.000000
0.110000	-5.538900	0.000000	0.000000
0.120000	-5.538900	0.000000	0.000000
0.130000	-5.538900	0.000000	0.000000
0.140000	-5.538900	0.000000	0.000000
0.150000	-5.538900	0.000000	0.000000
0.160000	-5.538900	0.000000	0.481408
0.170000	-5.538900	0.000000	0.000000
0.180000	-5.538900	0.000000	0.000000
0.190000	-5.538900	0.000000	0.000000
0.200000	-5.538900	0.000000	0.000000
0.210000	-5.538900	0.000000	0.000000
0.220000	-5.538900	0.000000	0.000000
0.230000	-5.538900	0.000000	0.481408
0.240000	-5.538900	0.000000	0.481408
0.250000	-5.538900	0.000000	0.481408
0.260000	-5.538900	0.000000	0.481408
0.270000	-5.538900	0.000000	0.000000
0.280000	-5.538900	0.000000	0.000000
0.290000	-5.538900	0.000000	0.481408
0.300000	-5.538900	0.000000	0.481408
0.310000	-5.538900	0.000000	0.481408
0.320000	-5.538900	0.000000	0.000000
0.330000	-5.538900	0.000000	0.000000
0.340000	-5.538900	0.000000	0.000000
0.350000	-5.538900	0.000000	0.481408
0.360000	-5.538800	0.000000	0.481408
0.370000	-5.538600	0.000000	0.481408
0.380000	-5.538400	0.000000	0.000000
0.390000	-5.538200	0.000000	0.000000
0.400000	-5.538100	0.000000	0.000000
0.410000	-5.538100	0.000000	0.481408
0.420000	-5.538000	0.000000	0.000000
0.430000	-5.537900	0.000000	0.481408
0.440000	-5.537900	0.000000	0.481408
0.450000	-5.537800	0.000000	0.000000
0.460000	-5.537800	0.000000	0.000000
0.470000	-5.537700	0.000000	0.000000
0.480000	-5.537700	0.000000	0.000000
0.490000	-5.537600	0.000000	0.000000
0.500000	-5.537600	0.000000	0.000000
0.510000	-5.537500	0.000000	0.000000
0.520000	-5.537400	0.000000	0.000000
0.530000	-5.537400	0.000000	0.000000
0.540000	-5.537300	0.000000	0.000000
0.550000	-5.537300	0.000000	0.481408
0.560000	-5.537200	0.000000	0.481408
0.570000	-5.537100	0.000000	0.000000
0.580000	-5.537100	0.000000	0.000000
0.590000	-5.537000	0.000000	0.000000
0.600000	-5.536900	0.000000	0.000000
0.610000	-5.536800	0.000000	0.481408
0.620000	-5.536800	0.000000	0.481408
0.630000	-5.536700	0.000000	0.481408
0.640000	-5.536600	0.000000	0.481408
0.650000	-5.536600	0.000000	0.000000
0.660000	-5.536500	0.000000	0.000000
0.670000	-5.536500	0.000000	0.000000
0.680000	-5.536400	0.000000	0.000000
0.690000	-5.536300	0.000000	0.000000
0.700000	-5.536300	0.000000	0.000000
0.710000	-5.536200	0.000000	0.000000
0.720000	-5.536200	0.000000	0.000000
0.730000	-5.536100	0.000000	0.000000
0.740000	-5.536000	0.000000	0.000000
0.750000	-5.536000	0.000000	0.000000
0.760000	-5.535900	0.000000	0.000000
0.770000	-5.535800	0.000000	0.000000
0.780000	-5.535800	0.000000	0.000000
0.790000	-5.535700	0.000000	0.000000
0.800000	-5.535600	0.000000	0.000000
0.810000	-5.535600	0.000000	0.481408
0.820000	-5.535500	0.000000	0.481408
0.830000	-5.535400	0.000000	0.000000
0.840000	-5.535400	0.000000	0.000000
0.850000	-5.535300	0.000000	0.000000
0.860000	-5.535300	0.000000	0.000000
0.870000	-5.535200	0.000000	0.000000
0.880000	-5.535100	0.000000	0.000000
0.890000	-5.535100	0.000000	0.000000
0.900000	-5.535000	0.000000	0.000000
0.910000	-5.535000	0.000000	0.000000
0.920000	-5.534900	0.000000	0.481408
0.930000	-5.534800	0.000000	0.481408
0.940000	-5.534700	0.000000	0.481408
0.950000	-5.534700	0.000000	0.000000
0.960000	-5.534600	0.000000	0.000000
0.970000	-5.534500	0.000000	0.000000
0.980000	-5.534500	0.000000	0.481408
0.990000	-5.534400	0.000000	0.481408
1.000000	-5.534400	0.000000	0.000000
1.010000	-5.534300	0.000000	0.000000
1.020000	-5.534200	0.000000	0.481408
1.030000	-5.534200	0.000000	0.000000
1.040000	-5.534100	0.000000	0.000000
1.050000	-5.534000	0.000000	0.000000
1.060000	-5.534000	0.000000	0.000000
1.070000	-5.533900	0.000000	0.000000
1.080000	-5.533800	0.000000	0.000000
1.090000	-5.533800	0.000000	0.481408
1.100000	-5.533700	0.000000	0.481408
1.110000	-5.533700	0.000000	0.481408
1.120000	-5.533600	0.000000	0.481408
1.130000	-5.533600	0.000000	0.481408
1.140000	-5.533500	0.000000	0.000000
1.150000	-5.533400	0.000000	0.000000
1.160000	-5.533400	0.000000	0.481408
1.170000	-5.533300	0.000000	0.481408
1.180000	-5.533200	0.000000	0.000000
1.190000	-5.533200	0.000000	0.000000
1.200000	-5.533100	0.000000	0.000000
1.210000	-5.533000	0.000000	0.481408
1.220000	-5.533000	0.000000	0.000000
1.230000	-5.532900	0.000000	0.000000
1.240000	-5.532900	0.000000	0.481408
1.250000	-5.532800	0.000000	0.481408
1.260000	-5.532700	0.000000	0.481408
1.270000	-5.532700	0.000000	0.481408
1.280000	-5.532600	0.000000	0.481408
1.290000	-5.532500	0.000000	0.000000
1.300000	-5.532500	0.000000	0.481408
1.310000	-5.532400	0.000000	0.481408
1.320000	-5.532400	0.000000	0.000000
1.330000	-5.532300	0.000000	0.000000
1.340000	-5.532300	0.000000	0.000000
1.350000	-5.532200	0.000000	0.000000
1.360000	-5.532100	0.000000	0.000000
1.370000	-5.532100	0.000000	0.000000
1.380000	-5.532000	0.000000	0.481408
1.390000	-5.531900	0.000000	0.481408
1.400000	-5.531800	0.000000	0.481408
1.410000	-5.531800	0.000000	0.481408
1.420000	-5.531700	0.000000	0.481408
1.430000	-5.531600	0.000000	0.481408
1.440000	-5.531600	0.000000	0.481408
1.450000	-5.531600	0.000000	0.000000
1.460000	-5.531500	0.000000	0.000000
1.470000	-5.531400	0.000000	0.000000
1.480000	-5.531400	0.000000	0.481408
1.490000	-5.531300	0.000000	0.481408
1.500000	-5.531200	0.000000	0.000000
1.510000	-5.531200	0.000000	0.000000
1.520000	-5.531100	0.000000	0.000000
1.530000	-5.531000	0.000000	0.481408
1.540000	-5.531000	0.000000	0.481408
1.550000	-5.530900	0.000000	0.000000
1.560000	-5.530800	0.000000	0.000000
1.570000	-5.530800	0.000000	0.481408
1.580000	-5.530700	0.000000	0.481408
1.590000	-5.530700	0.000000	0.481408
1.600000	-5.530600	0.000000	0.481408
1.610000	-5.530500	0.000000	0.481408
1.620000	-5.530500	0.000000	0.481408
1.630000	-5.530400	0.000000	0.000000
1.640000	-5.530400	0.000000	0.000000
1.650000	-5.530300	0.000000	0.481408
1.660000	-5.530200	0.000000	0.481408
1.670000	-5.530200	0.000000	0.000000
1.680000	-5.530100	0.000000	0.000000
1.690000	-5.530000	0.000000	0.481408
1.700000	-5.530000	0.000000	0.481408
1.710000	-5.529900	0.000000	0.000000
1.720000	-5.529900	0.000000	0.000000
1.730000	-5.529800	0.000000	0.000000
1.740000	-5.529700	0.000000	0.000000
1.750000	-5.529600	0.000000	0.000000
1.760000	-5.529600	0.000000	0.000000
1.770000	-5.529500	0.000000	0.000000
1.780000	-5.529500	0.000000	0.000000
1.790000	-5.529400	0.000000	0.000000
1.800000	-5.529400	0.000000	0.000000
1.810000	-5.529300	0.000000	0.000000
1.820000	-5.529200	0.000000	0.000000
1.830000	-5.529200	0.000000	0.000000
1.840000	-5.529100	0.000000	0.000000
1.850000	-5.529000	0.000000	0.000000
1.860000	-5.529000	0.000000	0.000000
1.870000	-5.528900	0.000000	0.000000
1.880000	-5.528800	0.000000	0.000000
1.890000	-5.528800	0.000000	0.481408
1.900000	-5.528700	0.000000	0.481408
1.910000	-5.528600	0.000000	0.481408
1.920000	-5.528600	0.000000	0.481408
1.930000	-5.528500	0.000000	0.481408
1.940000	-5.528500	0.000000	0.481408
1.950000	-5.528400	0.000000	0.481408
1.960000	-5.528300	0.000000	0.000000
1.970000	-5.528300	0.000000	0.481408
1.980000	-5.528200	0.000000	0.481408
1.990000	-5.528100	0.000000	0.481408
2.000000	-5.528100	0.000000	0.481408
2.010000	-5.528100	0.000000	0.000000
2.020000	-5.528000	0.000000	0.000000
2.030000	-5.527900	0.000000	0.000000
2.040000	-5.527900	0.000000	0.481408
2.050000	-5.527800	0.000000	0.481408
2.060000	-5.527700	0.000000	0.000000
2.070000	-5.527700	0.000000	0.481408
2.080000	-5.527600	0.000000	0.481408
2.090000	-5.527500	0.000000	0.000000
2.100000	-5.527500	0.000000	0.000000
2.110000	-5.527400	0.000000	0.000000
2.120000	-5.527300	0.000000	0.000000
2.130000	-5.527300	0.000000	0.000000
2.140000	-5.527200	0.000000	0.481408
2.150000	-5.527200	0.000000	0.481408
2.160000	-5.527100	0.000000	0.481408
2.170000	-5.527000	0.000000	0.481408
2.180000	-5.527000	0.000000	0.481408
2.190000	-5.526900	0.000000	0.000000
2.200000	-5.526800	0.000000	0.000000
2.210000	-5.526800	0.000000	0.000000
2.220000	-5.526700	0.000000	0.000000
2.230000	-5.526600	0.000000	0.000000
2.240000	-5.526600	0.000000	0.481408
2.250000	-5.526500	0.000000	0.481408
2.260000	-5.526500	0.000000	0.481408
