<Mach-1 File>
<INFO>
Date:	Thu, Nov 23, 2023
Time:	12:32:03.190
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	10kg - SN: 1805192
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	0.962816
Load Cell Offset:	171.500000
Load Cell Calibration Date:	2023-11-23
<END INFO>
<Stress Relaxation>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Amplitude, mm:	1.2660
Velocity, mm/s:	0.0063
Number of Ramp:	1
Stop based on:	Fixed Relaxation Time
Fixed Relaxation Time, s:	60
Relaxation Rate, gf/min:	0.0100
Time for Measurement of the Slope, s:	10
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fz, gf
0.000000	-5.128400	0.000000	17.812087
0.010000	-5.128400	0.000000	17.812087
0.020000	-5.128400	0.000000	17.812087
0.030000	-5.128400	0.000000	17.812087
0.040000	-5.128400	0.000000	17.812087
0.050000	-5.128400	0.000000	17.812087
0.060000	-5.128400	0.000000	17.812087
0.070000	-5.128400	0.000000	17.812087
0.080000	-5.128400	0.000000	17.812087
0.090000	-5.128400	0.000000	17.812087
0.100000	-5.128400	0.000000	17.812087
0.110000	-5.128400	0.000000	18.293495
0.120000	-5.128400	0.000000	18.293495
0.130000	-5.128400	0.000000	18.293495
0.140000	-5.128400	0.000000	17.812087
0.150000	-5.128400	0.000000	17.812087
0.160000	-5.128400	0.000000	17.812087
0.170000	-5.128400	0.000000	17.812087
0.180000	-5.128400	0.000000	17.812087
0.190000	-5.128400	0.000000	17.812087
0.200000	-5.128400	0.000000	17.812087
0.210000	-5.128400	0.000000	17.812087
0.220000	-5.128400	0.000000	17.812087
0.230000	-5.128400	0.000000	17.812087
0.240000	-5.128400	0.000000	17.812087
0.250000	-5.128400	0.000000	17.812087
0.260000	-5.128400	0.000000	17.812087
0.270000	-5.128400	0.000000	17.812087
0.280000	-5.128400	0.000000	17.812087
0.290000	-5.128400	0.000000	17.812087
0.300000	-5.128400	0.000000	17.812087
0.310000	-5.128400	0.000000	17.812087
0.320000	-5.128400	0.000000	17.812087
0.330000	-5.128400	0.000000	17.812087
0.340000	-5.128400	0.000000	17.812087
0.350000	-5.128400	0.000000	17.812087
0.360000	-5.128400	0.000000	17.812087
0.370000	-5.128400	0.000000	17.812087
0.380000	-5.128400	0.000000	18.293495
0.390000	-5.128400	0.000000	18.293495
0.400000	-5.128400	0.000000	18.293495
0.410000	-5.128400	0.000000	18.293495
0.420000	-5.128400	0.000000	18.293495
0.430000	-5.128400	0.000000	18.293495
0.440000	-5.128400	0.000000	18.293495
0.450000	-5.128200	0.000000	18.293495
0.460000	-5.128000	0.000000	18.293495
0.470000	-5.127700	0.000000	18.293495
0.480000	-5.127500	0.000000	18.293495
0.490000	-5.127400	0.000000	18.293495
0.500000	-5.127300	0.000000	18.293495
0.510000	-5.127200	0.000000	18.293495
0.520000	-5.127100	0.000000	18.293495
0.530000	-5.127000	0.000000	18.293495
0.540000	-5.126900	0.000000	18.293495
0.550000	-5.126900	0.000000	18.293495
0.560000	-5.126800	0.000000	18.293495
0.570000	-5.126800	0.000000	18.293495
0.580000	-5.126700	0.000000	18.293495
0.590000	-5.126600	0.000000	18.293495
0.600000	-5.126600	0.000000	18.293495
0.610000	-5.126500	0.000000	18.293495
