<Mach-1 File>
<INFO>
Date:	Mon, Nov 13, 2023
Time:	14:44:46.000
Mach-1 Motion Software Version:	4.4.0.17
Mach-1 System S/N:	MA0561140
Mach-1 System Model:	V500ct
Load Cell Name:	FT31009
Load Cell Type:	Multiple-axis
Load Cell Calibration Factor:	0.996708
Load Cell Offset:	-86.095833
Load Cell Calibration Date:	2023-11-13
<END INFO>
<Stress Relaxation>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Amplitude, mm:	0.1720
Velocity, mm/s:	0.3440
Number of Ramp:	1
Stop based on:	Fixed Relaxation Time
Fixed Relaxation Time, s:	60
Relaxation Rate, N/min:	0.0100
Time for Measurement of the Slope, s:	10
<DATA>
Time, s	Position (z), mm	Position (theta), deg	Fx, N	Fy, N	Fz, N	Tx, N-mm	Ty, N-mm	Tz, N-mm
0.000000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.010000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.020000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.030000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.040000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.050000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.060000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.070000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.080000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.090000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.100000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.110000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.120000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.130000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.140000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.150000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.160000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.170000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.180000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.190000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.200000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.210000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.220000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.230000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.240000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.250000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.260000	-2.387000	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.270000	-2.386900	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.280000	-2.384900	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.290000	-2.378300	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.498354	-1.993416
0.300000	-2.376300	0.000000	0.006479	0.019436	-0.019934	0.498354	-0.996708	-1.993416
